	(macro) Embedding Test Accuracy	(macro) Embedding Train Accuracy	(macro) Test # Features / Example	(macro) Test # Features / Example (Filter # Features > 0)	(macro) Test # Relevant Features / Example	(macro) Test # Relevant Features / Example (Filter # Relevant Features > 0)	(macro) Test % Examples with # Features > 0	(macro) Test % Examples with # Relevant Features > 0	(macro) Test Accuracy	(macro) Test Accuracy (Filter # Features > 0)	(macro) Test Accuracy (Filter # Relevant Features > 0)	(macro) Test Accuracy (Weighted # Features)	(macro) Test Accuracy (Weighted # Relevant Features)	(macro) Test F1_score	(macro) Test Mean Relevant Rule Length	(macro) Test Mean Rule Length	(macro) Test Positive Ratio	(macro) Test Precision	(macro) Test Recall	(macro) Train # Features / Example	(macro) Train # Features / Example (Filter # Features > 0)	(macro) Train # Relevant Features / Example	(macro) Train # Relevant Features / Example (Filter # Relevant Features > 0)	(macro) Train % Examples with # Features > 0	(macro) Train % Examples with # Relevant Features > 0	(macro) Train Accuracy	(macro) Train Accuracy (Filter # Features > 0)	(macro) Train Accuracy (Filter # Relevant Features > 0)	(macro) Train Accuracy (Weighted # Features)	(macro) Train Accuracy (Weighted # Relevant Features)	(macro) Train F1_score	(macro) Train Mean Relevant Rule Length	(macro) Train Mean Rule Length	(macro) Train Positive Ratio	(macro) Train Precision	(macro) Train Recall	(macro) True Test Accuracy	(macro) True Test Accuracy (Filter # Features > 0)	(macro) True Test Accuracy (Filter # Relevant Features > 0)	(macro) True Test Accuracy (Weighted # Features)	(macro) True Test Accuracy (Weighted # Relevant Features)	(macro) True Test F1_score	(macro) True Test Positive Ratio	(macro) True Test Precision	(macro) True Test Recall	(macro) True Train Accuracy	(macro) True Train Accuracy (Filter # Features > 0)	(macro) True Train Accuracy (Filter # Relevant Features > 0)	(macro) True Train Accuracy (Weighted # Features)	(macro) True Train Accuracy (Weighted # Relevant Features)	(macro) True Train F1_score	(macro) True Train Positive Ratio	(macro) True Train Precision	(macro) True Train Recall	Embedding Test Accuracy	Embedding Train Accuracy	Test # Features / Example	Test # Features / Example (Filter # Features > 0)	Test # Relevant Features / Example	Test # Relevant Features / Example (Filter # Relevant Features > 0)	Test % Examples with # Features > 0	Test % Examples with # Relevant Features > 0	Test Accuracy	Test Accuracy (Filter # Features > 0)	Test Accuracy (Filter # Relevant Features > 0)	Test Accuracy (Weighted # Features)	Test Accuracy (Weighted # Relevant Features)	Test F1_score	Test Mean Relevant Rule Length	Test Mean Rule Length	Test Positive Ratio	Test Precision	Test Recall	Train # Features / Example	Train # Features / Example (Filter # Features > 0)	Train # Relevant Features / Example	Train # Relevant Features / Example (Filter # Relevant Features > 0)	Train % Examples with # Features > 0	Train % Examples with # Relevant Features > 0	Train Accuracy	Train Accuracy (Filter # Features > 0)	Train Accuracy (Filter # Relevant Features > 0)	Train Accuracy (Weighted # Features)	Train Accuracy (Weighted # Relevant Features)	Train F1_score	Train Mean Relevant Rule Length	Train Mean Rule Length	Train Positive Ratio	Train Precision	Train Recall	True Test Accuracy	True Test Accuracy (Filter # Features > 0)	True Test Accuracy (Filter # Relevant Features > 0)	True Test Accuracy (Weighted # Features)	True Test Accuracy (Weighted # Relevant Features)	True Test F1_score	True Test Positive Ratio	True Test Precision	True Test Recall	True Train Accuracy	True Train Accuracy (Filter # Features > 0)	True Train Accuracy (Filter # Relevant Features > 0)	True Train Accuracy (Weighted # Features)	True Train Accuracy (Weighted # Relevant Features)	True Train F1_score	True Train Positive Ratio	True Train Precision	True Train Recall	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	dataset_name	model_name	split	timestamp
0	0.8013908900721634	0.6306237620171818	1.1962700087743492	2.608684371045933	0.9539913155692492	2.1855190755133784	0.4118704313626793	0.3857272538174664	0.7000977075780961	0.8317609168495694	0.8724406461523502	0.8181091860818653	0.8577365144994984	0.6057068955875796	2.856962477179475	2.844219137716133	0.4655659080675042	0.7476217508424501	0.6815465769439139	0.5946013324664253	2.431908011584979	0.4821255466089744	2.1552793606758693	0.22509326091260104	0.20345661923883854	0.6375627552412395	0.7611397172307773	0.8316091692625107	0.7383394656779672	0.8084332605579283	0.6622563565081452	2.866102839510248	2.8717549005129337	0.7115170376781269	0.8137483155977838	0.7118015362317668	0.6750815307667507	0.7856745327860274	0.8185554483099466	0.7683265124862404	0.7999437399424273	0.5931521958483633	0.5001639111071997	0.7511607502470866	0.6362110699339275	0.4226471018369724	0.6465928112923774	0.6819821204206564	0.644627847238307	0.6659684558748186	0.41153883469131897	0.4117045351323641	0.43995541163362256	0.6519756003068151	0.8254750768971474	0.6495289843368803	0.9086714701049172	2.6856164383561643	0.6382884591075717	2.116155619193965	0.3383474487001222	0.3016264273374626	0.6670037500526693	0.8446450809464509	0.868757421247468	0.8283369270362384	0.8363204277651253	0.5014470763220322	2.9956761395517706	2.965917785351603	0.4805334344583491	0.8070490293163013	0.5319944430844796	0.357346263241737	2.1722145861537983	0.25338449533064605	1.8481913666745204	0.16450780945839574	0.13709862512049534	0.5023147006870147	0.7436623502785156	0.835803127441376	0.7417051239354869	0.7998389694041868	0.4883673332712618	2.9603596349973165	2.948408582710881	0.7611004476391413	0.8623283830705919	0.4896069706869989	0.6461467155437577	0.8109589041095892	0.8264999650764825	0.7848647144745079	0.7793840974353896	0.4908443836690554	0.5002528125395019	0.7977560492162256	0.5081860944250639	0.4057926170993731	0.6113597139402458	0.6381617291452238	0.6347114515438412	0.6560185185185186	0.3170123349428693	0.4882802870466868	0.5282282983824674	0.4552704286583222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	FB13	TransE	ghat_3nn_2negrate_bern___pra	1527033688
1	0.8013908900721634	0.6306237620171818	2.118937597616494	4.472088559829339	1.3088201374256776	2.9332498838009147	0.4464372960092611	0.4075389010183525	0.7418471439252607	0.8320135287376146	0.8515553837414076	0.8286728548939006	0.8451872102663406	0.7345106040855167	2.7323636745407187	2.926640538447409	0.4655659080675042	0.6946949791462821	0.8374663550477912	0.9413989644012144	3.6070276755321093	0.6022506564225598	2.5499209707613604	0.2586947278303382	0.2230311895049432	0.7201670714925453	0.8294924111317034	0.8340661033615956	0.7991841137124297	0.8172988618059225	0.7896046073964305	2.775782064118855	2.9316214416567834	0.7115170376781269	0.7884412332564442	0.8622505094109475	0.7248451163140067	0.7865893840900899	0.8068212786293787	0.7870647257901575	0.8009654111158282	0.7263992555531082	0.5001639111071997	0.7061034444441744	0.8008331676290714	0.4196181022615896	0.6379079083300084	0.6672573065008081	0.6361039183214905	0.6597711114305074	0.5112755158401348	0.4117045351323641	0.4372027743244473	0.8171937146613379	0.8254750768971474	0.6495289843368803	1.7941473897105296	4.291523886313243	0.9918467956010616	2.650844594594594	0.41806766948974	0.37416255846289975	0.7438587620612649	0.8298226164079823	0.8546734234234235	0.8374373245969399	0.8436033050829457	0.7194971984239438	2.831878332165084	3.033195946501333	0.4805334344583491	0.7269908155208579	0.7864637099352364	0.7355392836073629	2.7789396605988976	0.4059371265069356	1.7977848720767389	0.26468343089135105	0.2257984994823163	0.6691159594489601	0.8155518158344359	0.8165253663017453	0.786398454149158	0.8114260106964414	0.7370353106791125	2.6935389976169635	2.9254510657772483	0.7611004476391413	0.8323055436585532	0.7608838365912992	0.7227067795896011	0.8011489619028421	0.8234234234234235	0.8120618593017931	0.7955988869772085	0.7037225698516459	0.5002528125395019	0.7194453507254956	0.7623452485126109	0.4149392125427365	0.6328507380239713	0.6603068953574172	0.6045668243027723	0.6789224822109887	0.5054148748591645	0.4882802870466868	0.5208072163584601	0.7335977216360297	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	FB13	TransE	ghat_7nn_2negrate_bern___pra	1527033688
2	0.8013908900721634	0.6306237620171818	1.6404204807763907	3.622734410720935	1.2507096396327857	2.8169948016136384	0.418894137636011	0.4106686465826973	0.7362630930359402	0.8488247824896344	0.8560750047747226	0.8420088286987379	0.8461954218092931	0.7264693272525475	2.7851504426180504	2.8999296351401163	0.4655659080675042	0.6916214648350366	0.8347613871848071	0.7443426966379642	3.0511804861758978	0.5854483795373058	2.502284557177814	0.23804901715859	0.2267772064986485	0.7163053229718834	0.8320574170005529	0.8389385958535175	0.7974405121564833	0.8120047096818052	0.7828438118158154	2.8125375993803057	2.9092537314006366	0.7115170376781269	0.7881379277339084	0.8569790192087449	0.7145108326713328	0.7960412144670146	0.8035195947632704	0.7955886159374337	0.7994329876153196	0.7146440875154559	0.5001639111071997	0.6970436951763286	0.7932699288622506	0.4134487791141235	0.6525748137961456	0.675604698699256	0.6445347099182944	0.659778464999187	0.5017999087823877	0.4117045351323641	0.4331204307395729	0.8075616357556569	0.8254750768971474	0.6495289843368803	1.3397800530906332	3.5369299221357062	0.9853790081321366	2.6821883243491227	0.3787974550204357	0.3673787553195972	0.7423629545358783	0.8541713014460511	0.8648354169056084	0.8411013617636884	0.8396904130676474	0.7108930324837528	2.8658599161891734	2.9950309777651984	0.4805334344583491	0.7318784658475228	0.7772037391547562	0.5189451833314349	2.3313017444169493	0.4108623471387987	1.9577453378914795	0.22259889118781634	0.20986506221555026	0.6600254676579446	0.8413451257141111	0.8492733429464852	0.7893409163876529	0.8150644686098284	0.7217334932897794	2.7819198238906258	2.8934058877873947	0.7611004476391413	0.8317221981049204	0.7477390696676591	0.7172081068554333	0.8186318131256952	0.8287074205757541	0.8111299808158002	0.7993243821089541	0.6916255387286645	0.5002528125395019	0.7180765165074355	0.7496312339387592	0.4053998915329388	0.6520483915314821	0.673830624908864	0.6334842518395241	0.6623549663174272	0.4883133496426636	0.4882802870466868	0.514746669630499	0.7180769705243487	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	FB13	TransE	ghat_5nn_2negrate_bern___pra	1527033688
3	0.8013908900721634	0.6306237620171818	3.1929674042143232	4.5664710871971765	1.6191859456836766	2.6213607641423664	0.6209166500576149	0.5950516310908328	0.7558990385556218	0.7742946160151724	0.7941143263499785	0.7303308440277707	0.7689913690335092	0.7689420208106059	2.9999011408598597	3.1487637926600205	0.4655659080675042	0.7262055240287371	0.8418458886815259	2.557286286186645	4.3693313202727015	1.2585445057844982	2.5130698901970803	0.4917787728875698	0.4686049292256506	0.8126385649590524	0.7524006503830573	0.7467774870296389	0.7424388309606426	0.7489195835829527	0.861616555377514	3.0320435307421603	3.1610870236715534	0.7115170376781269	0.8416798072400965	0.8875707118939792	0.7519085295422194	0.7377611415223246	0.7551782325078492	0.6725722626802958	0.7246105859840541	0.774613144855981	0.5001639111071997	0.7563373017907392	0.8165410694476011	0.530048419270445	0.5839377828880223	0.6176339216078789	0.5920488630778306	0.5967025811085718	0.5768038417052254	0.4117045351323641	0.4536981556038195	0.8257013877654196	0.8254750768971474	0.6495289843368803	2.9129692832764507	5.322465162830087	1.181687945055408	2.299430164391424	0.5472970125984915	0.5139046896726077	0.7343150886950659	0.8083378243128801	0.8247857992046899	0.7603983596953722	0.7937243715457301	0.7683629783449335	3.08140488500624	3.3079187369365086	0.4805334344583491	0.7119219572968765	0.8682696095419121	2.4980984262075463	5.860851182641299	0.8971416039184151	2.286516513133379	0.4262347478820872	0.39236174274945296	0.8135080593746653	0.7787603206892425	0.7961314811123725	0.7783545918193734	0.8060531063339499	0.8757317938222731	3.1014447712319213	3.3151920477700028	0.7611004476391413	0.8443451195815205	0.9118476267578828	0.7279947752075171	0.7962506736469319	0.8122822121100316	0.712187289808848	0.7860402923872348	0.7688905831606229	0.5002528125395019	0.7215699927325303	0.8481677831384303	0.5645370513620437	0.5527781101671254	0.5690943124799598	0.5986386039224867	0.5825607925775447	0.6416807945098224	0.4882802870466868	0.5219476088643517	0.8788932195130127	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	FB13	TransE	g_2negrate_bern___pra	1527033688
4	0.7379789000459148	0.7700088624903175	2.838299641334561	4.622601038982562	1.6223232810805277	2.487934810177795	0.5448643618782149	0.5205852272097188	0.7460001254650235	0.7191951014305105	0.7318230917703733	0.6774524454505161	0.7182028058327531	0.7682001915400575	2.905671981185177	3.1105714283309918	0.5359981157758826	0.7209409722832321	0.8402361663291021	2.18751014018468	4.534495864696628	1.3920026910473249	2.5859248306295943	0.4104694761385795	0.386960237228615	0.6990956006972111	0.6707854239316432	0.6771291767433187	0.6556308224598807	0.6963058154742816	0.7664196344908693	2.9132655627456776	3.110626528512636	0.6347213126838716	0.7331787069586523	0.8468241778324849	0.7197932344532461	0.7556970273245589	0.7719142734876085	0.7391493035185193	0.7696055982290282	0.7562178629318107	0.5001639111071997	0.7016518563281787	0.8506090669458365	0.5695199048117432	0.7003809082175474	0.756908160946424	0.7037689941029044	0.7725369138576598	0.6236001149911147	0.4117324288509359	0.5110026616451284	0.8875633323011082	0.7382968861922218	0.7472173438490846	2.575843761850588	5.100325379609544	1.62322504529558	3.348748261474272	0.505035183078414	0.4847259090717566	0.7893439514599924	0.7875438011012849	0.7998522253129347	0.7911094753200016	0.8310663482504412	0.8186031940435621	3.116446890250234	3.243454790823212	0.5869253781654237	0.7804011546107318	0.8755153425740934	2.0586385173674806	5.32608313173521	1.474159167761821	4.036834950371516	0.38652016246257626	0.3651769730209437	0.7517362380290957	0.6956366835276007	0.7057719883051826	0.7405046722025626	0.7689367728602139	0.8252004568566286	3.1371289914842184	3.233674543825384	0.7340737882036121	0.806520802033232	0.8727104099866166	0.7162389921206759	0.8053145336225597	0.8174113351877608	0.8213388950231055	0.8508332468071851	0.7644604395358117	0.5002528125395019	0.6962486308935854	0.8760130486614273	0.6073628393208398	0.6916692324609632	0.7168336468090654	0.7783505452623495	0.7942130975116942	0.6785785809155601	0.4883669926912242	0.5657097738901451	0.9138274753108612	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	FB13	Analogy	ghat_3nn_2negrate_bern___pra	1539022851
5	0.7379789000459148	0.7700088624903175	2.781668737838185	5.048966136929326	1.7956690523147176	3.0189672261436535	0.4764889365207934	0.4639489319684853	0.6787966898318948	0.7422148481047859	0.7520673751342353	0.7098294032552798	0.7400065934456423	0.5401486903704951	2.8957847544426363	3.0914004370778843	0.5359981157758826	0.7455178147662276	0.5267741117966868	2.151916493600873	4.621664403973462	1.5578680806251577	3.0419410073679645	0.3740809360515982	0.3608589960920434	0.6453102470931835	0.6854706672878546	0.6986487549189764	0.6621324854679113	0.7175261574339226	0.5469942038797216	2.876477046808859	3.0742951428641887	0.6347213126838716	0.8447820961290622	0.5115842992792093	0.6298763776506432	0.7637093887450865	0.7787061893373913	0.7464183335840768	0.7738378684081644	0.5091157561776737	0.5001639111071997	0.7109275639169697	0.5203671170919476	0.6706116875332909	0.7254978108807731	0.7539551530715293	0.7131719533138069	0.7712016377849731	0.5002659373233204	0.4117324288509359	0.6783608139856533	0.5601284161861206	0.7382968861922218	0.7472173438490846	2.5669953229680202	5.619897606198976	1.6680150002106768	3.796767851148516	0.45676905574516496	0.4393249905195298	0.7495259764884338	0.8030994880309948	0.8163333812880641	0.8109073002585252	0.8347310985929725	0.7023532672132478	3.1161366105034483	3.230013541794903	0.5869253781654237	0.7828445564353508	0.7252539986736256	2.0618891289822967	5.624696224839997	1.5304566327267908	4.372392354955437	0.3665778642189607	0.3500272867763692	0.7301329316538506	0.6982190891382989	0.7022609709303738	0.73501418621583	0.7574077159773831	0.733834141117412	3.141098188200531	3.2224733405508093	0.7340737882036121	0.8536986569827907	0.732209027957607	0.6634433067880167	0.8131543747982104	0.8291372943940921	0.8281587262505642	0.849938110996034	0.6372832104242246	0.5002528125395019	0.6894443776132485	0.7160526569669101	0.64940147603609	0.6974353028476022	0.7113485683755495	0.7730675455166858	0.7823296786305418	0.6280150042813301	0.4883669926912242	0.6366735120258514	0.7778379464778514	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	FB13	Analogy	ghat_7nn_2negrate_bern___pra	1539022851
6	0.7379789000459148	0.7700088624903175	2.851520157435328	4.919297572476737	1.8972422505127164	3.2617099528069837	0.5036947210013789	0.4978399485871388	0.7362882772735085	0.7525391790749579	0.7517964870489349	0.7061828049807222	0.7175656062459235	0.7131551996877175	2.933594771763221	3.0983603075285338	0.5359981157758826	0.7305065529576418	0.7586214190266617	2.201866072742204	4.665022451211981	1.5585945409008344	3.299273951787089	0.3838608519902589	0.3784682815856257	0.6944358694679303	0.7277885255330337	0.7259508168350423	0.7440641869039035	0.7450118209715046	0.7068761003057972	2.9344993646907467	3.088460115272425	0.6347213126838716	0.7764133075800287	0.7483568580413557	0.6862052612293842	0.7755700364422176	0.7794997285050672	0.7631084721235073	0.7636304493230296	0.6874956148507342	0.5001639111071997	0.7118009069347278	0.7602439340599317	0.6057967439885816	0.7776529150482334	0.7933027153039987	0.7938249611719813	0.8052677015777954	0.5970320961901863	0.4117324288509359	0.5698654074497694	0.7972019977671189	0.7382968861922218	0.7472173438490846	2.626300931192854	5.5008384079075086	1.796254160873046	3.8090153681200856	0.4774364808494501	0.4715796570176548	0.7854464248093372	0.8102550525108111	0.8107576840600429	0.8077811647681694	0.8157891650344237	0.7998590528680461	3.0473956439638283	3.2387614310925716	0.5869253781654237	0.7843654360569731	0.8527932050997143	2.1315613646448384	5.7142114906067984	1.534042166145016	4.195583640218725	0.3730280841282768	0.3656326026824345	0.7526746991229128	0.7106337790660577	0.7095097273369788	0.7457580209574581	0.7518161537106057	0.8074815108122096	3.0493628084967734	3.230408413610703	0.7340737882036121	0.8224680639032121	0.8425813948175266	0.7001643281506763	0.8201835672050128	0.823445318084346	0.8392828493502327	0.8374403302799639	0.7393015136590801	0.5002528125395019	0.7005808665645233	0.8495444394184832	0.626829106574838	0.7297665600189596	0.7357391288174683	0.8050715517420151	0.7949284011530291	0.676432370880351	0.4883669926912242	0.5893969028290207	0.8924194164490092	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	FB13	Analogy	ghat_5nn_2negrate_bern___pra	1539022851
7	0.7379789000459148	0.7700088624903175	3.1922402067360487	4.565127060914644	1.939168230879671	2.963597176762444	0.6209166500576149	0.6037778749966802	0.7377042654030145	0.68441372475438	0.6958068434875538	0.6763032929803744	0.7089161744961248	0.7559690282086027	2.9636910818230966	3.1485392799707066	0.5359981157758826	0.7097008252399389	0.8228830128980059	2.570791065990772	4.384986417102229	1.554722943757762	2.8232254799083503	0.4913465764419277	0.4791909776586238	0.7080636256785404	0.6415416140973587	0.6413035300229815	0.6645272742487744	0.6712784460764851	0.7526023743854408	2.982369135681733	3.1608443817611938	0.6347213126838716	0.7502987588158181	0.7862071386237898	0.7228524326697184	0.7335680463232002	0.7474644457704508	0.7292806649438486	0.7560497082835068	0.7561024426789368	0.5001639111071997	0.7007702614641332	0.8457817217508078	0.6027531125532468	0.6687133000495514	0.6866430395162864	0.6848116109545056	0.6961562630420779	0.6236074382021888	0.4117324288509359	0.5278431550735125	0.831269672618725	0.7382968861922218	0.7472173438490846	2.9127586061601987	5.322080221726076	1.5650992289217545	3.0117976161517883	0.5472970125984915	0.5196561749462774	0.7809379345215522	0.7592193394410656	0.775561501662207	0.7909111292737439	0.8047490207163914	0.8033194240667261	3.059658899702513	3.307832514809377	0.5869253781654237	0.7751012338958982	0.8427134704456267	2.5114918981225682	5.892320947077876	1.3236959726078168	3.238716815999867	0.4262313476607327	0.4087100070214571	0.7536454623195971	0.6755628061330312	0.6807430886598281	0.7273247895416625	0.7435955067724642	0.8125020568339478	3.0718898424596124	3.3161072044580067	0.7340737882036121	0.8190919866731077	0.8267521136960794	0.7165971432183036	0.7916698745092001	0.8107921835725291	0.8178754059468959	0.8321420398713134	0.7594418088242797	0.5002528125395019	0.7019787071612181	0.8555893278738956	0.6243486450967958	0.6693164956842222	0.6799735443132753	0.7461164378183276	0.7368525829893372	0.6729929805943368	0.4883669926912242	0.5760117375033973	0.8654141137955188	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	FB13	Analogy	g_2negrate_bern___pra	1539022851
8	0.8014525707667833	0.6230099130130776	3.989107908174629	4.54061500980608	2.9550008638445653	3.4198073345465048	0.8688718874007815	0.8455560336440763	0.7606187477712759	0.7947267113814832	0.8056989665019645	0.7643931841964531	0.7902624202570706	0.7592460563919132	3.0794511136879934	3.1846192744437904	0.4655224061182766	0.7139055674738433	0.8206821118700708	2.8502602633625704	3.8850345885156665	2.1794160136493805	3.06515759531923	0.7137613797646232	0.6875184813622022	0.7749758149073277	0.8254972888403138	0.8344719500921222	0.8320280134514962	0.8490231574462895	0.8167944262752818	3.0632018936784218	3.142272727703945	0.6946957796488212	0.8529120841821909	0.7985834022653352	0.7670326816086951	0.8055206734613413	0.8164502145860099	0.7781457358420724	0.8062162207172544	0.7792208248795118	0.5001097292680716	0.7587230505170778	0.8074727712685509	0.5498618017226613	0.605951718535989	0.6081184160872316	0.6428583205918066	0.6393420062844681	0.5761677999977638	0.3959657966535054	0.4916139077656591	0.7702158214869332	0.8255500295034983	0.6154041703871002	4.150868245806288	4.766060928690687	3.013403017786395	3.6013600302228936	0.8709221950602715	0.8367402849194976	0.7554370732529714	0.7797807728603576	0.7914368467447425	0.7625287484705559	0.7704626832270337	0.7624399996205928	3.008664820409533	3.0837906857493893	0.4805066172131838	0.7241141779357128	0.8189236020561779	2.9444445611639267	4.1237766805746	2.183045328010925	3.238052945667586	0.7140164924628394	0.6741845685172541	0.7421356163664058	0.7998934836724005	0.8126708113245765	0.8107317824988121	0.8302557563217284	0.7977067484346052	3.0035560474460463	3.048522207206372	0.7259666999317191	0.8584752273701014	0.7645112181363899	0.7548891511422069	0.7798291673724199	0.7921672333459262	0.7363974675960948	0.753657547275372	0.7725029099425884	0.5001475174913597	0.7478301967090624	0.808920444589863	0.5593697147959452	0.5908802014982905	0.5956901790305239	0.6277433459723349	0.6374448427688088	0.5927024418688275	0.4188035085876359	0.5182186496156259	0.7679025399762422	8.0	8.0	8.0	8.0	8.0	8.0	8.0		FB13	TransE	g_2negrate_bern__pra	1527033688_1904171027
9	0.8014525707667833	0.6230099130130776	2.492017253349991	4.044756758219164	1.2769760206498806	2.2784690977473883	0.5941397195699974	0.5137795642653322	0.7541693368448799	0.8236371285075524	0.8451497428801532	0.8272643468595574	0.8542999305507857	0.7452508071648734	2.7726941004070853	3.0148862213847423	0.4655224061182766	0.7083616780692725	0.8216711223028389	1.2804909730501834	2.78481230502698	0.7592479296292225	1.9074918706768518	0.4385723083742534	0.3397053054058895	0.7692477627188221	0.8517134201323088	0.8460336324835108	0.8323273340460123	0.8442788629023861	0.81606461704384	2.8444004416607944	2.962407651753701	0.6946957796488212	0.8224987941709846	0.8459903360027943	0.7150497804541873	0.7778588704268036	0.806094247872473	0.7858867721253083	0.8079613857661221	0.7132634880237125	0.5001097292680716	0.6980176041069861	0.770929243095033	0.4760047384335014	0.5859682329441236	0.6227890853934674	0.617445928121289	0.6467106690094061	0.5450021106375058	0.3959657966535054	0.4685540179553427	0.8077677151934466	0.8255500295034983	0.6154041703871002	2.128066256427548	3.7410069277220015	0.9924766079406558	2.0785153146791417	0.568848520610301	0.4774930456039788	0.7680182078732193	0.8300670544215167	0.8495895489451849	0.8276903575920223	0.8394309374668224	0.7572115515514447	2.790954453763669	3.024905675325061	0.4805066172131838	0.7504263854611319	0.8067071372112777	1.0344850044645202	2.4606654539639385	0.5707274541730133	1.9057012774733948	0.4204086349072956	0.2994842166080151	0.7636661589369189	0.8422270419381921	0.8396248254961521	0.8278718655372074	0.8495427974025591	0.8200226925543745	2.8355322250526407	2.931554116765404	0.7259666999317191	0.8330305008496725	0.8455191525894464	0.7300851386664419	0.7916867335975993	0.8124724159237355	0.7948326912983631	0.7805074848710054	0.7220446007212012	0.5001475174913597	0.7264256880959177	0.7686540280345109	0.4644697725720889	0.5838863790828769	0.6483124864079918	0.6283812189143136	0.6920692650891581	0.5519364471609306	0.4188035085876359	0.4812921682103602	0.8162750696567099	9.0	9.0	9.0	9.0	9.0	9.0	9.0		FB13	TransE	ghat_7nn_2negrate_bern__pra	1527033688_1904171027
